,account_created_at,account_lang,country_code,created_at,favourites_count,followers_count,friends_count,is_quote,is_retweet,label,lang,place_full_name,place_type,reply_to_screen_name,reply_to_status_id,reply_to_user_id,retweet_count,screen_name,source,status_id,text,user_id,verified
0,2012-06-12T04:36:41Z,,,2020-03-16T20:06:06Z,1724.0,133.0,277.0,0.0,0.0,1.0,en,,,,,,0.0,IAmLaCarriesse,Twitter for iPhone,1.2396441311499182e+18,Recession???? Prostpone an election??? Oh nah you gotta get out  #Coronavirus,606018322.0,0.0
1,2015-12-11T18:41:21Z,,,2020-03-16T23:41:39Z,297.0,62.0,221.0,0.0,0.0,1.0,en,,,,,,0.0,matthewminor10,Twitter for iPhone,1.2396983751902372e+18,"Dear Coronavirus, please don’t take the 2020 MLB Season Away. #Covid_19",4451230996.0,0.0
2,2018-05-26T15:56:42Z,,,2020-03-16T04:48:30Z,4774.0,34.0,367.0,0.0,0.0,2.0,en,,,,,,0.0,yeseonghwa,Twitter for Android,1.2394132073720504e+18,"#coronavirus #StayAtHome #COVID19 
Good morning to another day of going to work on full public transportation😑
How is anyone staying home?Sure as hell doesn't feel like it",1.0004053715073475e+18,0.0
3,2011-11-15T14:04:22Z,,IN,2020-03-16T13:07:20Z,29751.0,1264.0,450.0,0.0,0.0,0.0,en,"Navi Mumbai, India",city,,,,0.0,mr_chrtla,Twitter for Android,1.2395387431045652e+18,Section 144 has been Imposed in pune. #coronavirus,413112087.0,0.0
4,2010-12-11T06:54:13Z,,,2020-03-16T22:14:56Z,8597.0,141.0,230.0,0.0,0.0,0.0,en,,,,,,0.0,jahshoes81,Twitter for Android,1.2396765518154465e+18,#Coronavirus just solved rush hour traffic. I did the speed limit all the way home. #blessed,225297428.0,0.0
5,2011-10-02T17:01:22Z,,,2020-03-16T13:59:05Z,263.0,18.0,204.0,0.0,0.0,2.0,en,,,,,,0.0,amacelevators,Twitter for iPhone,1.239551766863151e+18,"US cities close bars, restaurants and cinemas. The five county area is one of those areas.

New York City schools are off til April 20. Great. #coronavirus",383859189.0,0.0
6,2009-06-16T05:48:32Z,,,2020-03-16T17:55:56Z,112.0,72.0,193.0,0.0,0.0,2.0,en,,,,,,0.0,nayabahmed,Twitter for Android,1.239611370011865e+18,"Don't fool yourself.  The threat is real. 
#coronavirusinpakistan #CoronavirusOutbreak #COVID2019",47555108.0,0.0
7,2012-09-29T13:49:48Z,,,2020-03-16T21:40:03Z,865.0,41.0,196.0,0.0,0.0,0.0,en,,,,,,0.0,kimidelb,Twitter for iPhone,1.239667774315774e+18,Baby boom in 9 months!! I’m callin it now!!! #CoronavirusOutbreak #coronapocolypse #babyboom #COVID19 #StayTheFHome,852907092.0,0.0
8,2012-12-09T08:24:17Z,,,2020-03-16T09:52:16Z,30465.0,2514.0,411.0,0.0,0.0,0.0,en,,,,,,0.0,kejriwalforPMO,Twitter for Android,1.2394896534990234e+18,Delhi CM Arvind Kejriwal and Kerla CM P Vijayan Only Two CMs Are Working Restlessly While other CMs Are Too busy with their Political agendas. #CoronavirusOutbreak #coronavirus,998843148.0,0.0
9,2010-06-19T12:22:18Z,,,2020-03-16T13:12:37Z,1071.0,407.0,463.0,0.0,0.0,0.0,en,,,,,,0.0,Nowthinkin,Twitter for iPhone,1.2395400734205256e+18,"If anyone wants to give up smoking.  Right now it’s the best thing you can do, whether you are young or old. Stop now to give yourself the best chance to fight the cononavirus. So many smokers have died already from this virus #coronavirus #smoking",157298843.0,0.0
10,2010-09-21T11:55:22Z,,,2020-03-16T08:22:45Z,36.0,35.0,290.0,0.0,0.0,2.0,en,,,,,,0.0,ij_masilela,Twitter for Android,1.2394671264753254e+18,#CoronavirusInSA Minister Mkhize says we need to take extra steps to curb the rapid spread of the disease. He calls on South Africans to work together. #Covid_19 #covid19SA #CoronavirusOutbreak,193263853.0,0.0
11,2019-07-04T21:54:43Z,,,2020-03-16T20:03:32Z,25.0,69.0,339.0,0.0,0.0,1.0,en,,,,,,0.0,cassiemarie289,Twitter for iPhone,1.2396434831048212e+18,Can everyone chill about the #coronavirus ? It was made in China it won’t last long. 😂,1.1469001687191306e+18,0.0
12,2011-10-17T20:01:53Z,,,2020-03-16T23:54:26Z,2540.0,85.0,188.0,0.0,0.0,1.0,en,,,,,,1.0,anyt405,Twitter for iPhone,1.2397015926952878e+18,Are we being quarantined to our homes so that the #Census2020 can get better results? 🤔 I’m onto you federal government. #COVID19,392945370.0,0.0
13,2010-01-05T12:59:38Z,,,2020-03-16T23:12:37Z,2426.0,71.0,220.0,0.0,0.0,2.0,en,,,,,,0.0,MichaelHalpenny,Twitter for Android,1.2396910656254403e+18,"We stand by Italy during these trying times. Share your Support for our Italian friends, They are our colleagues, friends and family. Cari amici, siamo con voi. #COVID19 #WeStandWithItaly",102054058.0,0.0
