,account_created_at,account_lang,country_code,created_at,favourites_count,followers_count,friends_count,is_quote,is_retweet,label,lang,place_full_name,place_type,reply_to_screen_name,reply_to_status_id,reply_to_user_id,retweet_count,screen_name,source,status_id,text,user_id,verified
0,2012-04-09T15:04:49Z,,,2020-03-14T08:40:59Z,156.0,109.0,257.0,0.0,0.0,2.0,en,,,aoifeboylan01,1.2387463596725166e+18,549380169.0,1.0,aoifeboylan01,Twitter for iPhone,1.2387469375301673e+18,"Myself and my colleagues are operating business as normal providing not only regular blood and specimen testing but testing for #COVID19. I work with a wonderful bunch of scientists who have worked continuously through storms, snows and now a pandemic to ensure the patient is",549380169.0,0.0
1,2007-10-22T04:49:30Z,,,2020-03-14T17:08:44Z,438.0,68.0,143.0,0.0,0.0,2.0,en,,,,,,0.0,dogasura,Twitter for Android,1.2388747162508042e+18,Just returned from a grocery store in #Philadelphia . Most stuff is available except toilet paper. Don't do #panicbuying and we'll all be fine from the #coronapocalypse #COVID19,9591342.0,0.0
2,2019-02-26T20:19:14Z,,,2020-03-14T23:13:18Z,4346.0,32.0,125.0,0.0,0.0,2.0,en,,,,,,0.0,OliviaJaneLong1,Twitter for Android,1.238966463001776e+18,"Officially in lock down here in Spain, for minimum 15 days, hopefully this will lower our cases and avoid more deaths.
#IWillStayAtHome #YoMeQuedoEnCasa
#QuedateEnTuCasa
#CoronavirusEspaña
#Covid_19
#LockDownSpain
#LockDown",1.1004904931405701e+18,0.0
3,2019-08-23T19:30:49Z,,,2020-03-14T15:35:11Z,53.0,59.0,132.0,0.0,0.0,1.0,en,,,,,,5.0,Fxwz99,Twitter for iPhone,1.2388511741425418e+18,"Unpopular opinion: 
Corona virus was created by the government to reduce population.
#coronavirus #COVID_19uk",1.1649833149623665e+18,0.0
4,2009-01-23T14:16:39Z,,,2020-03-14T15:02:46Z,71.0,270.0,191.0,0.0,0.0,2.0,en,,,,,,0.0,asenasen,Twitter for iPhone,1.2388430150929408e+18,"Almost a week on, and based on the latest data, the % of #COVID19 positive tests per day has gone up to 6%, nearly 2X where it was last week. At this rate we can expect UK cases to reach approx. 4,800 next Sunday.",19395381.0,0.0
5,2019-06-09T21:20:05Z,,,2020-03-14T04:28:24Z,2145.0,20.0,222.0,0.0,0.0,1.0,en,,,,,,0.0,bhodi1983,Twitter for iPhone,1.238683372265902e+18,Part of me wants to get Corona Virus so I can say I’ve gone viral #coronapocalypse #CoronavirusUSA #Covid_19 #CoronaOutbreak #coronavirus,1.1378317553423852e+18,0.0
6,2017-02-15T04:17:27Z,,,2020-03-14T02:02:47Z,27189.0,60.0,243.0,0.0,0.0,0.0,en,,,,,,0.0,Planteater3,Twitter for iPhone,1.2386467260278538e+18,Corona really messing with my money. Cancelled events for March and April. Thank god credit cards were made 🙏 #coronapocalypse #QuarantineAndChill #coronavirus #Covid_19,8.317190425158738e+17,0.0
7,2018-01-03T16:21:21Z,,,2020-03-14T15:10:50Z,972.0,76.0,291.0,0.0,0.0,0.0,en,,,,,,0.0,LeonCoTheThird,Twitter for iPhone,1.2388450482482954e+18,Relationships are going to end. Relationships are going to get stronger. Hospital maternity units are going to be crowded in the November/December time frame. All because of this. #coronavirus,9.485901138645115e+17,0.0
8,2013-06-15T08:10:27Z,,,2020-03-14T07:21:00Z,2372.0,250.0,244.0,0.0,0.0,2.0,en,,,,,,0.0,MAITRAOM,Twitter for iPhone,1.2387268110574019e+18,Social distancing will be a temporary instrument to deal with #Covid_19. However steps taken towards community well-being and sustainable living will matter far more in the long run.,1518757608.0,0.0
9,2011-11-15T23:34:48Z,,,2020-03-14T17:44:46Z,249.0,66.0,209.0,0.0,0.0,2.0,en,,,,,,0.0,bevoeddy,Twitter for iPhone,1.238883786617688e+18,"Please my fellow citizens, take the necessary precautions to protect yourself, your family, your friends, etc. These with elderly &amp; ailing family members, take extra care. #coronavirus is no joke and it knows no boundaries.",413501398.0,0.0
10,2009-11-18T02:40:48Z,,,2020-03-14T08:37:59Z,58.0,126.0,279.0,0.0,0.0,0.0,en,,,,,,0.0,lynseytait,Twitter for iPhone,1.238746181020287e+18,"I was told yesterday that I’m not allowed to cancel the annual leave I have booked 6th-9th April (lead up to Easter weekend) because of the new #COVID19 rules at work (😡). I now have no work NOR PLANS from 3rd to 13th April. What can I do, Twitter?!",90783089.0,0.0
11,2010-06-10T18:55:39Z,,,2020-03-14T13:37:55Z,45.0,1406.0,448.0,0.0,0.0,1.0,en,,,,,,0.0,alae089,Twitter for iPhone,1.238821665745797e+18,"I sneezed in front of my laptop and the anti-virus software started a scan! 😎🤓
#coronavirus #Covid_19 #CoronaJokes",154240448.0,0.0
12,2009-02-14T00:02:05Z,,US,2020-03-14T13:52:28Z,118.0,524.0,200.0,0.0,0.0,2.0,en,"West Collingswood, NJ",city,,,,0.0,messengerart,Twitter for iPhone,1.2388253245211443e+18,We are staying open until the closure becomes mandatory which puts us out there for exposure until the last minute but it also gives me a check. I feel like a pawn. There’ll be no check for weeks once we close #coronavirus #work,20819489.0,0.0
13,2009-12-30T07:22:13Z,,,2020-03-14T15:49:39Z,2141.0,203.0,135.0,0.0,0.0,1.0,en,,,,,,0.0,PranabPunj,Twitter for iPhone,1.2388548146556027e+18,Did you notice that winter is back? This fluctuating weather could support viral infections. Still wondering if we contributed to this pandemic through our global abuse of nature?? #ClimateCrisis #COVID #coronavirus,100435073.0,0.0
14,2019-11-27T05:10:17Z,,,2020-03-14T15:28:12Z,3618.0,10.0,228.0,0.0,0.0,1.0,en,,,,,,0.0,therealLJadey,Twitter for iPhone,1.2388494187340268e+18,Currently discussing lettuce as a toilet paper alternative with my cousins in our group chat 😂😂😂🥬🧻 #coronapocalypse #Covid_19 #COVID19US #naturestoiletpaper #lettuceneverforget,1.1995559784354038e+18,0.0
15,2015-03-02T14:55:20Z,,,2020-03-14T20:22:36Z,766.0,222.0,438.0,0.0,0.0,2.0,en,,,,,,0.0,PancrasMalani,Twitter for Android,1.2389235055567544e+18,"Imagine if #COVID19 lasts for longer. Has anybody detailed the consequences to countries economy and to ordinary people. No work, no traveling, no money, no food, and then?",3056480088.0,0.0
16,2010-03-07T04:54:06Z,,,2020-03-14T14:52:32Z,2028.0,980.0,143.0,0.0,0.0,0.0,en,,,,,,1.0,MHarrelson72,Twitter for iPhone,1.2388404414429143e+18,"It is a thing of epic proportions that a marginal twist of the smallest of particles has shut down commerce, sports, and has the potential to overwhelm the best of our healthcare systems. Little things...don’t dismiss the little things. #COVID19",120666077.0,0.0
17,2019-08-11T20:37:53Z,,,2020-03-14T11:44:45Z,3951.0,192.0,390.0,0.0,0.0,0.0,en,,,,,,0.0,iamjustdot,Twitter for Android,1.2387931857338696e+18,"I can't believe it. Leaned out of my window, delivered a perfectly proficient rendition of Psychosocial and nobody joined in.

You can all do one, neighbours. 

#coronavirus #coronaUK #COVID_19uk #COVIDー19",1.16065157041929e+18,0.0
18,2012-12-30T13:20:48Z,,,2020-03-14T23:05:02Z,870.0,316.0,423.0,0.0,0.0,2.0,en,,,,,,5.0,nicolaeardley,Twitter for iPhone,1.2389643844640604e+18,"Okay UK, the #Covid19 #coronavirus infection rates are going up and it’s getting widespread amongst the population. If you haven’t already it’s time to #ISOLATEtheELDERLY Get anyone older or frail to isolate now whilst it spreads through the young and healthy #herdimmunity",1047855440.0,0.0
19,2020-01-19T17:00:52Z,,,2020-03-14T08:01:27Z,1297.0,50.0,315.0,0.0,0.0,0.0,en,,,,,,0.0,TomStLSton3,Twitter for iPhone,1.238736990318846e+18,On #REFLECTION #2020 has been a shit year already. Countless #storms and bad #weather and now #COVID19 .,1.2189413706033603e+18,0.0
20,2011-09-11T18:49:29Z,,,2020-03-14T06:00:49Z,450.0,16.0,102.0,0.0,0.0,2.0,en,,,,,,0.0,KB_WFL,Twitter for iPhone,1.2387066313674793e+18,"Dear Everone. Wash your hands, stay calm and stay healthy. Act, don't overreact. #Covid_19 is something to take serious, but if we can work together and share our soaps and hand sanitizers (and apparently T.P) then the mortality rate will remain 2 per 100,000 #COVID19 #Facts",371902670.0,0.0
21,2009-05-03T11:41:32Z,,,2020-03-14T05:46:45Z,27.0,124.0,108.0,0.0,0.0,1.0,en,,,,,,0.0,nishantt_mehta,Twitter for iPhone,1.2387030891017994e+18,#Chinese virus will last as long as #Chinese products. Don’t worry so much 😉 #coronascare #covid19 #economicMeltdown #stayalert #staysafe,37403798.0,0.0
22,2012-08-05T02:11:26Z,,,2020-03-14T13:27:00Z,14485.0,38.0,206.0,0.0,0.0,2.0,en,,,hotnsassyemily,1.2388189147437916e+18,737817896.0,0.0,hotnsassyemily,Twitter for iPhone,1.238818915654013e+18,"For all the staff, EMS, clinical and non-clinical fighting on the front lines of #coronavirus #COVID19 may you be safe, may you remember it’s ok to not be ok. You matter. #Nursing #NurseTwitter #healthcare",737817896.0,0.0
23,2011-08-24T21:19:37Z,,,2020-03-14T10:18:51Z,906.0,187.0,332.0,0.0,0.0,1.0,en,,,,,,0.0,The_PT_Way,Twitter for Android,1.2387715672550072e+18,Any danger of some media led positive vibes on Corona V?? A few uplifting vids of people who have contracted and come out of it fine maybe? Everything so far seems to be detailing death...obvs very sad but human reaction will be driven by what we see and read.  #COVID19,361485906.0,0.0
24,2009-09-20T01:32:30Z,,,2020-03-14T15:43:55Z,13563.0,1665.0,321.0,0.0,0.0,0.0,en,,,HeartofTARDIS,1.2388523219851182e+18,75690489.0,0.0,HeartofTARDIS,Twitter for Android,1.238853374373757e+18,Can you tell I'm just done with the ignorance?  #COVID19,75690489.0,0.0
25,2016-12-23T20:01:44Z,,,2020-03-14T01:31:32Z,18323.0,335.0,120.0,0.0,0.0,1.0,en,,,,,,1.0,palchristiansen,Twitter for iPhone,1.2386388653359268e+18,"I’m about screwed atm with #Covid_19 as Norway’s on something of a lockdown on flying. Supposed to be going back to the UK next week to grandads to live and work. 
Can’t work it all out.  Flight prices have bombed though, so I’m thinking just do it ? from  #Viking stock us lot !",8.123877376890634e+17,0.0
26,2013-02-02T12:53:43Z,,,2020-03-14T09:38:19Z,561.0,75.0,179.0,0.0,0.0,0.0,en,,,,,,0.0,cnrmrph,Twitter for Android,1.2387613673745654e+18,"This pandemic is really bringing out the best in some and the worst in other. Hearing stories of people volunteering to do the weekly shop for elderly, followed by stories of people stealing hand sanitizer from hospitals. Absolute madness #coronavirus #Covid_19 #coronvirusireland",1142392484.0,0.0
27,2010-12-12T15:06:07Z,,,2020-03-14T13:51:45Z,589.0,27.0,208.0,0.0,0.0,0.0,en,,,,,,0.0,iketennis,Twitter for iPhone,1.238825145151742e+18,Question of the day: Is it really necessary to buy out all the toilet paper and soap? Makes them look like they’ve just inherited a P*rn collection 🤷🏻‍♂️😂 #coronavirus,225826427.0,0.0
28,2010-08-01T17:05:14Z,,,2020-03-14T10:58:47Z,1.0,201.0,161.0,0.0,0.0,0.0,en,,,,,,0.0,RustyBakayoko,Twitter for Android,1.2387816156120678e+18,I can't help but feel that this whole toilet paper shortage could've been avoided if the Three Seashells from Demolition Man had been invented #coronavirus,173502632.0,0.0
29,2020-03-10T17:44:42Z,,,2020-03-14T13:03:45Z,217.0,119.0,316.0,0.0,0.0,0.0,en,,,,,,0.0,vijaystambh3,Twitter for Android,1.2388130671582454e+18,"Fight with the disaster like #Coronavirus
CCultivate the habit of doing Namaste 🙏and say no to Shake hand 🤝🚫
Indian culture can neutralise such evil.
#ProudToBeAHindu 
#CoronaVirusUpdates",1.2374341471544812e+18,0.0
