,account_created_at,account_lang,country_code,created_at,favourites_count,followers_count,friends_count,is_quote,is_retweet,label,lang,place_full_name,place_type,reply_to_screen_name,reply_to_status_id,reply_to_user_id,retweet_count,screen_name,source,status_id,text,user_id,verified
0,2019-03-17T19:44:58Z,,,2020-03-28T04:38:16Z,31568.0,743.0,348.0,0.0,0.0,0.0,en,,,,,,0.0,Xy5Z89,Twitter for Android,1.2437592871066665e+18,"#Brazil #Brazilia #Coronavirus

Brazil is tightening entry rules in the fight against the corona crisis.  Foreign ministers without residence in Brazil are no longer allowed to enter by plane, the Ministry of Justice announced. The ban will apply for 30 days from Monday",1.1073672401549558e+18,0.0
1,2014-06-10T07:18:29Z,,,2020-03-28T03:15:12Z,16515.0,663.0,274.0,0.0,0.0,0.0,en,,,,,,0.0,33madhav,Twitter for Android,1.2437383810890465e+18,The thing dangerous than #COVID19 is the incompetent people at the top post of Government and equally all these deluded irresponsible citizens.,2558437645.0,0.0
2,2010-02-13T20:57:40Z,,,2020-03-28T03:11:13Z,2844.0,1139.0,410.0,0.0,0.0,0.0,en,,,,,,0.0,thisisindra,Twitter for Android,1.2437373809781924e+18,"This #coronavirusoutbreak is more stressful for the family. Doing my best to keep sanitized and safe. But, fear of the invisible killer lingers on, taking a mental toll on my mother, wife, son, who are petrified every time I walk out of the main door. #COVID19",114023018.0,0.0
3,2009-04-22T13:16:35Z,,US,2020-03-28T05:04:17Z,6059.0,1160.0,359.0,0.0,0.0,0.0,en,"Brooklyn, NY",city,,,,0.0,abbydart,Twitter for iPhone,1.2437658342265078e+18,Both Boris Johnson &amp; Donald Trump changed their strategy midway through the pandemic &amp; embraced actions experts had recommended for months.Those early failures were a proximate cause of the deaths of many. If this were a company we might be looking at criminal charges.#Covid_19,34267459.0,0.0
4,2010-05-13T18:09:37Z,,,2020-03-28T00:04:42Z,908.0,257.0,254.0,0.0,0.0,0.0,en,,,,,,0.0,DulceLatinaAri,Twitter for Android,1.2436904417043415e+18,"Sorry but I don't believe the Chinese ""total amount of cases"" #COVID19 #coronavirus 🤔🤫",143523289.0,0.0
5,2009-10-03T15:25:48Z,,,2020-03-28T02:42:04Z,4806.0,137.0,361.0,0.0,0.0,0.0,en,,,,,,0.0,AkhilPat,Twitter for Android,1.243730044381352e+18,"Covid-19 showed, mother nature doesnt discriminate on basis of gene pool, religion, race, caste or creed. Next time you categorise humans remember its a figment of human imaginary boundaries #COVID19 #ChineseVirus19",79486090.0,0.0
6,2010-11-28T17:03:20Z,,,2020-03-28T00:22:21Z,39.0,31.0,240.0,0.0,0.0,0.0,en,,,,,,1.0,tracichurchill,Twitter for iPhone,1.243694882310574e+18,Govenor Kemp you need to act more aggresively. The people of Georgia need you to protect them #Kemp #coronavirus,220721275.0,0.0
7,2015-02-12T00:37:26Z,,,2020-03-28T04:14:55Z,871.0,268.0,178.0,0.0,0.0,0.0,en,,,,,,0.0,Lil_Mouz,Twitter for iPhone,1.2437534106939228e+18,"Never lose hope, never lose faith #CoronaLockdown #Covid19usa #CoronavirusOutbreak",3031692923.0,0.0
8,2012-01-19T19:01:42Z,,CA,2020-03-28T04:19:10Z,1329.0,31.0,121.0,0.0,0.0,2.0,en,"Galway-Cavendish and Harvey, Ontario",city,,,,0.0,FraserLidy,Twitter for iPhone,1.2437544812228526e+18,#COVID19 so glad my test came back #negative will still practice #socialdistancing and #staythefuckathome as I’m very immunosuppressed and want to live!!,468633133.0,0.0
9,2019-02-19T07:18:46Z,,,2020-03-28T02:21:35Z,3135.0,67.0,375.0,0.0,0.0,0.0,en,,,,,,0.0,BrandonDarkis,Twitter for Android,1.2437248895483044e+18,Very sad to hear about the number of dead people today! Condolences for All passed! #coronavirus,1.0977573673351537e+18,0.0
